author,author_type,url,location,deal_type,accommodation_type,floor,floors_count,rooms_count,total_meters,price_per_month,commissions,price,district,street,house_number,underground,residential_complex
Владислав Новиков,realtor,https://www.cian.ru/sale/flat/301087893/,Москва,sale,flat,2,18,1,24.0,-1,0,5250000,Некрасовка, Вертолетчиков,21к5,Некрасовка,мой адрес На Вертолетчиков
ЛСР,developer,https://www.cian.ru/sale/flat/301288978/,Москва,sale,flat,22,28,1,24.8,-1,0,14581432,Даниловский,18/19/27,18/19/27,ЗИЛ,Зиларт ЖК
Этажи Москва,real_estate_agent,https://www.cian.ru/sale/flat/298264413/,Москва,sale,flat,1,14,1,20.0,-1,0,4500000,, Ленина,12,Кокошкино,
Трансстройинвест,developer,https://www.cian.ru/sale/flat/300568435/,Москва,sale,flat,23,32,1,25.0,-1,0,10594500,Рязанский,,,Стахановская,Проспект 39 ЖК
ID 111134018,homeowner,https://www.cian.ru/sale/flat/296151189/,Москва,sale,flat,8,29,1,25.7,-1,0,10600000,Зябликово,Ореховый бульвар,24К1,Красногвардейская,Fresh
Основа,developer,https://www.cian.ru/sale/flat/287742393/,Москва,sale,flat,3,20,-1,26.15,-1,0,7201710,Северный,Новодачная ,67/68,Новодачная,ФизтехСити
ID 12851241,homeowner,https://www.cian.ru/sale/flat/301067172/,Москва,sale,flat,3,14,1,37.6,-1,0,19880000,Головинский,Пулковская ,2,Водный стадион,ЛЕНИНГРАDКА 58
Группа Аквилон,developer,https://www.cian.ru/sale/flat/300612669/,Москва,sale,flat,12,26,1,26.4,-1,0,13626374,Хорошевский,,,Зорге,Инди Тауэрс ЖК
Этажи Москва,real_estate_agent,https://www.cian.ru/sale/flat/298462641/,Москва,sale,flat,31,47,-1,36.0,-1,0,13700000,Бутырский,Новодмитровская ,2к6,Дмитровская,Савеловский Сити
Центр-Инвест,developer,https://www.cian.ru/sale/flat/299384237/,Москва,sale,flat,9,35,1,24.0,-1,0,12186452,Левобережный,Фестивальная ,15к24/1,Речной вокзал,Фестиваль парк-2
Владис,real_estate_agent,https://www.cian.ru/sale/flat/301043854/,Москва,sale,flat,2,5,1,25.1,-1,0,12700000,Мещанский,проспект Мира,5к1,Сухаревская,
ID 109455433,developer,https://www.cian.ru/sale/flat/300556117/,Москва,sale,flat,24,25,-1,25.1,-1,0,9096540,Соколиная гора,Окружной проезд,10Г,Измайлово,Измайловский Парк
